name	style
green flash imperial ipa	imperial ipa
hair of the dog fred	barley wine
traquair jacobite ale	traditional ale
wells banana bread beer bottle	english strong ale
gouden carolus classic	belgian strong ale
avery the czar imperial stout 10 13	imperial stout
new belgium trippel	abbey tripel
port brewing hop 15	imperial ipa
st bernardus christmas ale	belgian strong ale
bells amber ale	amber ale
alesmith old numbskull	barley wine
gouden carolus christmas noel	belgian strong ale
port brewing wipeout ipa	india pale ale 40ipa41
ballast point victory at sea	imperial porter
port brewing old viscosity	american strong ale 
southern tier ipa	india pale ale 40ipa41
innis & gunn original	english strong ale
russian river damnation	belgian strong ale
samuel adams old fezziwig ale	spiceherbvegetable
bear republic red rocket ale	amber ale
russian river supplication	sour brown
breckenridge vanilla porter	porter
de dolle dulle teve 10 &mad bitch&	abbey tripel
corsendonk agnus  abbey pale ale	abbey tripel
petrus aged pale	sour wild ale
st bernardus blanche witbier	witbier
theakston old peculier bottle	old ale
achel 8 blond	belgian strong ale
kilkenny	irish ale
ayinger oktober fest marzen	oktoberfestmrzen
left hand wake up dead imperial stout	imperial stout
great divide old ruffian	barley wine
coors banquet beer	lager
avery mephistopheles stout	imperial stout
avery white rascal	wheat ale
achel 8 bruin	belgian strong ale
sierra nevada narwhal imperial stout	imperial stout
green flash hop head red & 2013&	amber ale
avery the reverend	abtquadrupel
alesmith wee heavy scotch ale	scotch ale
spaten oktoberfest ur marzen	oktoberfestmrzen
big sky moose drool brown ale	brown ale
peroni nastro azzurro	premium lager
alesmith double ipa	imperial ipa
de ranke xx bitter	belgian ale
molson canadian	lager
rogue imperial stout	imperial stout
widmer brothers hefeweizen	wheat ale
mikkeller black hole	imperial stout
samuel adams latitude 48 ipa	india pale ale 40ipa41
bios vlaamse bourgogne	sour brown
staropramen lezak &premium lager  beer& 12	czech pilsner sv283tl
moosehead lager	lager
michelob amberbock	amber lagervienna
boon oude geuze	'lambic style gueuze
russian river blind pig ipa	india pale ale 40ipa41
allagash tripel reserve	abbey tripel
alesmith double red ipa	imperial ipa
weyerbacher blithering idiot	barley wine
lindemans peche lambic pecheresse	lambic style fruit
xingu	black lager
smuttynose robust porter	porter
